순번,이름,주소,메모,위도,경도,등록일
359,"을지면옥","서울 종로구 삼일대로30길 12 (낙원동)","",37.57372901,126.9885667,"2024-05-21 10:54:43"
360,"스바루","서울 서초구 방배중앙로21길 7 우승빌딩 1층 (방배동)","",37.49238276,126.98612757,"2024-05-21 17:49:42"
361,"저스트스테이크","서울 강남구 언주로152길 11-7 1층 (신사동)","",37.52313167,127.03440343,"2024-05-24 21:14:38"
362,"배키욘방 교대점","서울 서초구 서초대로46길 16 1층 (서초동)","",37.49172363,127.00989764,"2024-05-26 15:17:59"
363,"박태환수영장","인천 연수구 하모니로138번길 11 송도캐슬센트럴파크 101동 지하1층 102호 (송도동)","",37.38498545,126.64278877,"2024-05-28 10:48:17"
364,"진주냉면이설옥","경기 수원시 팔달구 창룡대로 45 1층 (매향동)","",37.28309655,127.02091777,"2024-05-29 19:27:32"
365,"훼미리손칼국수보쌈","서울 성동구 왕십리로 134 1층 (성수동1가)","",37.54955908,127.04467846,"2024-05-30 20:26:33"
366,"화개정원","인천 강화군 교동면 고구리 산 236-6","",37.78372819,126.28920135,"2024-06-01 11:14:04"
367,"전등사","인천 강화군 길상면 전등사로 37-41 (길상면 온수리)","",37.63214569,126.48477894,"2024-06-01 11:15:29"
368,"선녀바위횟집","인천 중구 선녀바위로 41 (을왕동)","",37.44187057,126.37763749,"2024-06-05 20:39:40"
369,"바다드림","인천 중구 잠진도길 46 1층 (덕교동)","",37.4216911,126.42151042,"2024-06-05 20:39:58"
370,"느러지전망대","전남 나주시 동강면 옥정리 산 1-2","",34.91593066,126.54198308,"2024-06-08 15:01:08"
371,"샤로스톤 숭실대점","서울 동작구 상도로61길 8-2 (상도동)","",37.49514303,126.95533249,"2024-06-16 10:50:17"
372,"산도","서울 서초구 서초대로56길 38 (서초동)","",37.49286523,127.01743676,"2024-06-16 18:40:49"
373,"천진포자 파미에스테이션점","서울 서초구 사평대로 205 파미에스테이션 1층 FP118호 (반포동)","",37.50404422,127.0066161,"2024-06-17 09:48:19"
374,"천진포자 부암동점","서울 종로구 창의문로 131 1층 (부암동)","",37.59241843,126.96583192,"2024-06-17 09:48:47"
375,"정인면옥 본점","서울 영등포구 국회대로76길 10 기독교침례회총회빌딩 1층 (여의도동)","",37.53077817,126.92157408,"2024-06-17 22:24:15"
376,"평래옥","서울 중구 마른내로 21-1 (저동2가)","",37.56491022,126.99036547,"2024-06-17 22:34:33"
377,"진미평양냉면","서울 강남구 학동로 305-3 정각빌딩 1층 (논현동)","",37.51613579,127.03604716,"2024-06-17 22:38:51"
378,"서초크라센어학원","서울 서초구 서초중앙로 209 2층 (반포동)","",37.50031365,127.01181791,"2024-06-19 23:44:37"
379,"레인리포트 크루아상","서울 성동구 성수이로16길 32 1,2층 (성수동2가)","",37.54016393,127.05988477,"2024-06-20 14:16:10"
380,"난포","서울 성동구 서울숲4길 18-8 지층 (성수동1가)","",37.54701449,127.04268418,"2024-06-20 14:17:05"
381,"국립현대미술관 서울","서울 종로구 삼청로 30 (소격동)","",37.57862929,126.98009796,"2024-06-21 10:03:50"
382,"국립현대미술관 덕수궁","서울 중구 세종대로 99 덕수궁 구 조선고미술진열관 (정동)","",37.56593843,126.9737401,"2024-06-21 10:04:24"
383,"안사부 내방역점","서울 서초구 방배로 167 1층 (방배동)","",37.48841712,126.99271815,"2024-06-22 17:08:27"
384,"미국식","서울 서초구 서초대로29길 17-2 서전1 1층 (방배동)","",37.48914345,126.99511524,"2024-06-22 17:30:17"
385,"라오니아 한우무한리필","강원 횡성군 둔내면 고원로398번길 6 지하1층, 1층 (둔내면 두원리)","",37.49770549,128.23809185,"2024-06-24 12:56:35"
386,"주나수산","서울 서초구 서초대로77길 45 실버타운오피스텔 1층 101~104호 (서초동)","",37.501537,127.02480672,"2024-06-24 18:07:14"
387,"그랑블루","서울 용산구 회나무로13가길 40 1층 (이태원동)","",37.54085008,126.99176259,"2024-06-27 08:51:38"
388,"양산왕돼지국밥","부산 해운대구 재반로 70 (재송동)","",35.18494309,129.12634669,"2024-06-28 09:05:46"
389,"슈보카가리","서울 강남구 선릉로148길 52-5 2층 (청담동)","",37.52268159,127.04400065,"2024-06-29 14:55:01"
390,"미타 우동 본점","서울 송파구 송파대로49길 31 1층 (석촌동)","",37.50665703,127.10141645,"2024-07-03 17:47:42"
391,"소문난성수감자탕","서울 성동구 연무장길 45 1층 (성수동2가)","",37.54283084,127.05440458,"2024-07-06 21:47:23"
392,"밀본","서울 성동구 아차산로 67-16 KIMG빌딩 1층 (성수동2가)","",37.5464884,127.05149903,"2024-07-06 21:51:40"
393,"성수족발","서울 성동구 아차산로7길 7 1층 (성수동2가)","",37.54602763,127.05431637,"2024-07-06 21:55:14"
394,"금금","서울 성동구 성수이로12길 11 1층 101호 (성수동2가)","",37.53982765,127.05665634,"2024-07-06 21:56:46"
395,"타코마이너","서울 성동구 연무장길 39-13 2층 (성수동2가)","",37.54325817,127.05385156,"2024-07-06 22:00:13"
396,"원디그리노스 성수점","서울 성동구 성수이로10길 14 102호 (성수동2가)","",37.54021955,127.0567415,"2024-07-06 22:02:31"
397,"벱","서울 성동구 성수일로4가길 2 1층 (성수동2가)","",37.54206337,127.05400798,"2024-07-06 22:04:42"
398,"봉쥬르봉봉","서울 서초구 서초중앙로 123 엘렌타워 지하1층, 1층 (서초동)","",37.49265221,127.01350384,"2024-07-07 13:05:44"
399,"오도로키우동","서울 서초구 사평대로55길 24 1층 (반포동)","",37.50508922,127.02256517,"2024-07-07 19:17:36"
400,"피양옥","서울 강남구 압구정로36길 7 1,2층 (신사동)","",37.5280519,127.03167695,"2024-07-07 20:38:43"
401,"만포면옥 본점","경기 양주시 장흥면 호국로 515 1층 (장흥면 교현리)","",37.71717266,126.97149896,"2024-07-07 20:42:28"
402,"더진미평냉","서울 서초구 서초중앙로 58 피앤디 솔로빌 지하2층 (서초동)","",37.48714229,127.01559465,"2024-07-07 21:03:50"
403,"이북만두 백운호수점","경기 의왕시 학현로 170-68 라움빌딩 3층 (학의동)","",37.38470111,127.00849695,"2024-07-08 12:39:58"
404,"개성손만두 의왕점","경기 의왕시 백운로 133 1,2층 (오전동)","",37.35820552,126.99117306,"2024-07-08 12:41:20"
405,"남포면옥","서울 중구 을지로3길 24 1,2층 (다동)","",37.5671653,126.9817536,"2024-07-09 21:01:59"
406,"평양냉면","서울 구로구 고척로10길 65 (오류동)","",37.49638859,126.84220239,"2024-07-09 21:13:40"
407,"부원면옥","서울 중구 남대문시장4길 41-6 부원상가 2층 (남창동)","",37.55842131,126.97760437,"2024-07-09 21:14:08"
408,"일품각 당산점","서울 영등포구 양평로 46 지하1층 (당산동6가)","",37.53444835,126.90165279,"2024-07-09 21:17:31"
409,"이조면옥","서울 강서구 양천로 353 (가양동)","",37.5683947,126.84218192,"2024-07-09 21:45:25"
410,"도시PC카페 매탄점","경기 수원시 영통구 매탄로100번길 13 4층 (매탄동)","",37.25958656,127.04400046,"2024-07-10 12:47:12"
411,"아쯔마로","서울 강남구 삼성로126길 14 (삼성동)","",37.51767584,127.05227782,"2024-07-12 22:18:13"
412,"멘야미코 청담역점","서울 강남구 삼성로 642 삼성상가빌딩 1층 (삼성동)","",37.51740236,127.05132293,"2024-07-12 22:19:58"
413,"파파호 청담점","서울 강남구 영동대로137길 3 동신빌딩 1층 (청담동)","",37.52177948,127.05521508,"2024-07-12 22:22:09"
414,"청담영양센터","서울 강남구 학동로87길 7 (청담동)","",37.51924051,127.05107533,"2024-07-12 22:27:37"
415,"진성칼국수","서울 강남구 학동로81길 7 1층 (청담동)","",37.5195398,127.0507226,"2024-07-12 22:30:01"
416,"영천영화","서울 강남구 도산대로90길 3 1,2층 (청담동)","",37.52401826,127.04958307,"2024-07-12 22:31:20"
417,"소스 청담동본점","서울 강남구 삼성로146길 4 1층 (청담동)","",37.52276991,127.04852566,"2024-07-12 22:35:29"
418,"청담동순도리","서울 강남구 도산대로 510 신한오피스텔 1층 101~103호 (청담동)","",37.52405279,127.04890207,"2024-07-12 22:37:14"
419,"오장동함흥냉면","서울 중구 마른내로 108 (오장동)","",37.56427091,126.99987776,"2024-07-13 08:27:59"
420,"유진식당","서울 종로구 종로17길 40 1층 (낙원동)","",37.57204232,126.98831792,"2024-07-13 08:31:17"
421,"서평면옥","서울 동작구 보라매로5길 15 전문건설회관 지하1층 (신대방동)","",37.49217189,126.92426048,"2024-07-13 08:48:37"
422,"구서방네쭈구미","서울 관악구 보라매로3길 29 (봉천동)","",37.49121008,126.92498967,"2024-07-13 08:52:53"
423,"이태리로간고등어","서울 동작구 보라매로5가길 16 보라매아카데미타워 2층 202-2호 (신대방동)","",37.49127078,126.92409404,"2024-07-13 08:55:32"
424,"경동함흥냉면","서울 동대문구 고산자로38길 19 1층 (제기동)","",37.58009566,127.03958411,"2024-07-13 12:07:22"
425,"서령","서울 중구 소월로 10 단암타워 1층 (남대문로5가)","",37.55846414,126.97549924,"2024-07-13 12:23:48"
426,"소사면옥","서울 광진구 능동로 270 윤중빌딩 1층 101호 (능동)","",37.5540539,127.07810626,"2024-07-13 12:26:14"
427,"동아냉면","서울 용산구 우사단로 5 (보광동)","",37.53086362,126.99663759,"2024-07-13 15:33:16"
428,"동어 동락 삼성본점","서울 강남구 삼성로96길 7 1층 동어동락 삼성본점 (삼성동)","",37.50877927,127.05633427,"2024-07-14 07:11:39"
429,"성천막국수 논현점","서울 서초구 강남대로 545-12 (반포동)","",37.51043071,127.02071185,"2024-07-14 07:14:39"
430,"함흥면옥 압구정점","서울 강남구 논현로 826 (신사동)","",37.52222502,127.02852966,"2024-07-14 09:23:51"
431,"오장동흥남집 본점","서울 중구 마른내로 114 1-2층 (오장동)","",37.5643592,127.0005433,"2024-07-14 09:27:18"
432,"꽃새우영번지 역삼점","서울 강남구 언주로 536 1층 (역삼동)","",37.50619417,127.0413716,"2024-07-14 22:20:35"
433,"평양면옥 도곡점","서울 강남구 논현로28길 28 (도곡동)","",37.48333617,127.0448052,"2024-07-14 23:30:31"
434,"서이축산","서울 서초구 서래로 29 1층 (반포동)","",37.49756435,126.99815218,"2024-07-15 12:58:31"
435,"뉴만두집","서울 강남구 압구정로 338 1층 (신사동)","",37.52792361,127.0388766,"2024-07-15 17:54:00"
436,"낙산냉면","서울 종로구 지봉로5길 8 1,2층 (창신동)","",37.57448901,127.01527776,"2024-07-15 22:21:38"
437,"서북면옥","서울 광진구 자양로 199-1 (구의동)","",37.5453966,127.08534388,"2024-07-15 22:23:10"
438,"모녀가리비","강원 속초시 대포항희망길 53 1층 (대포동)","",38.17330716,128.60577728,"2024-07-16 17:44:12"
439,"우동가게","서울 영등포구 당산로 180 1층 (당산동4가)","",37.53026215,126.89933675,"2024-07-16 21:55:02"
440,"카츠메종","서울 영등포구 당산로 180 신우빌딩 1층 4호 (당산동4가)","",37.53027657,126.89933673,"2024-07-16 21:58:05"
441,"호작도","경기 수원시 팔달구 화서문로75번길 7 1층 (북수동)","",37.28632027,127.01644173,"2024-07-17 12:46:34"
442,"샤블리","서울 강남구 강남대로152길 35 2층 (신사동)","",37.51807095,127.02221163,"2024-07-17 13:08:33"
443,"꾸왁칼국수","서울 중구 창경궁로 67-13 1층 (주교동)","",37.56829022,126.99722112,"2024-07-21 09:07:51"
444,"보건옥","서울 중구 창경궁로8길 12 (주교동)","",37.56852901,126.9987594,"2024-07-21 09:24:22"
445,"은주정","서울 중구 창경궁로8길 32 (주교동)","",37.56867047,126.99975663,"2024-07-21 09:26:10"
446,"춘천면옥","서울 중구 동호로37길 33-17 (주교동)","",37.56848577,126.9997555,"2024-07-21 09:30:37"
447,"토나리우동","서울 송파구 백제고분로45길 11 1층 101호 (송파동)","",37.50943525,127.11000479,"2024-07-21 21:42:55"
448,"세광양대창 교대본점","서울 서초구 반포대로28길 79 1,2층 (서초동)","",37.49200629,127.01257423,"2024-07-23 21:28:18"
449,"정초손만두","경기 수원시 팔달구 권광로207번길 13 보령빌딩 1층 4호 (인계동)","",37.26607328,127.03250036,"2024-07-25 16:43:22"
450,"선남seaworld","서울 강동구 천호대로 1015 (천호동)","",37.53850456,127.12510744,"2024-07-25 21:04:58"
451,"팥고당 역삼본점","서울 강남구 테헤란로27길 27 1층 (역삼동)","",37.50313841,127.03730191,"2024-07-26 12:52:16"
452,"탕면","서울 은평구 진관3로 33 지하1층 B111호 (진관동)","",37.6402837,126.91988421,"2024-07-28 11:58:18"
453,"토로로","서울 은평구 통일로 972 은뜨락행복주택 상가 B101호 (진관동)","",37.63017111,126.91998004,"2024-07-28 12:01:22"
454,"쉐멩돌","서울 은평구 진관4로 48-17 은평뉴타운상림마을 709동 상가 102호 (진관동)","",37.64478058,126.92692492,"2024-07-28 12:03:11"
455,"포옹싸","서울 은평구 통일로 1022 신한헤스티아2차 1층 115호 (진관동)","",37.63386372,126.91789943,"2024-07-28 12:06:20"
456,"구파발장작구이","서울 은평구 통일로 1022 1층 (진관동)","",37.63379513,126.91773863,"2024-07-28 12:09:07"
457,"이수곰탕","서울 은평구 진관3로 21 엘크루주상복합상가 2층 203,204호 (진관동)","",37.63970905,126.91882547,"2024-07-28 12:11:21"
458,"구파발파스타","서울 은평구 진관4로 17 은평뉴타운상림마을 820동 1층 102호 (진관동)","",37.64379874,126.92168202,"2024-07-28 12:13:38"
459,"원순두부찌개","서울 은평구 진관3로 77 (진관동)","",37.64375071,126.92126057,"2024-07-28 12:15:15"
460,"와이엠에스프레소룸","서울 은평구 진관3로 67 래미안9단지 상가동 1층 101호 (진관동)","",37.64088356,126.92092709,"2024-07-28 12:16:58"
461,"인현골방","서울 중구 마른내로 60-1 2층 (인현동1가)","",37.56415906,126.99451045,"2024-07-29 15:10:19"
462,"삼계탕마을 래미안퍼스티지점","서울 서초구 반포대로 287 142호 (반포동)","",37.50448049,127.0009568,"2024-07-31 20:26:27"
463,"삼계탕마을 서초점","서울 서초구 효령로 316 정림빌딩 1, 2층 (서초동)","",37.48537584,127.01885063,"2024-07-31 20:26:46"
464,"단디 송리단길본점","서울 송파구 백제고분로45길 7 1층 1호 (송파동)","",37.50923131,127.1103438,"2024-07-31 21:38:57"
465,"해피베네핏 성수","서울 성동구 성수이로7길 27 지하 102호 (성수동2가)","",37.54157349,127.05343961,"2024-08-02 20:03:35"
466,"신촌기사식당","서울 강서구 방화대로 408 세원빌딩 1층 (방화동)","",37.57721356,126.8171538,"2024-08-02 20:05:05"
467,"락희옥 서초교대역지점","서울 서초구 반포대로30길 63 영서빌딩 1, 2층 (서초동)","",37.49263164,127.01202251,"2024-08-03 09:39:18"
468,"곰보냉면","서울 강북구 노해로33길 64 (수유동)","",37.64718711,127.02117129,"2024-08-03 18:16:42"
469,"청량리할머니냉면","경기 부천시 원미구 부천로40번길 26 1층 (심곡동)","",37.48759622,126.78489401,"2024-08-03 18:19:06"
470,"청량리함흥냉면","서울 동대문구 홍릉로5길 15-3 1층 (제기동)","",37.58242514,127.04351953,"2024-08-03 18:20:30"
471,"석파정 서울미술관","서울 종로구 자하문로 231 (부암동)","",37.5949224,126.96321736,"2024-08-03 18:42:28"
472,"인사센트럴뮤지엄","서울 종로구 인사동길 49 안녕인사동 지하 1층 (관훈동)","",37.57436992,126.98352232,"2024-08-03 18:43:18"
473,"오디움","서울 서초구 헌릉로8길 6 (신원동)","",37.45689791,127.05896724,"2024-08-03 18:43:50"
474,"살라댕템플","서울 성동구 성수이로16길 32 1층 (성수동2가)","",37.54007844,127.0596799,"2024-08-03 18:50:19"
475,"창창","서울 종로구 창신12길 37 (창신동)","",37.57842143,127.01092685,"2024-08-03 18:52:45"
476,"82올리언즈","서울 중구 수표로12길 20 1층 (초동)","",37.56398767,126.99130729,"2024-08-03 18:55:55"
477,"라이트룸서울","서울 강동구 아리수로61길 103 (고덕동)","",37.56534798,127.14772885,"2024-08-03 19:55:23"
478,"옛날중국집","서울 성북구 성북로8길 8 (성북동)","",37.59081232,127.00437509,"2024-08-04 07:27:03"
479,"삼우정","서울 중구 서소문로 134-12 (서소문동)","",37.56325028,126.97571499,"2024-08-04 07:33:27"
480,"석교식당","서울 서대문구 통일로 183-1 (영천동)","",37.56994658,126.96234219,"2024-08-04 07:34:00"
481,"단골숯불갈비","서울 강동구 진황도로47길 61 (길동)","",37.537415,127.14055005,"2024-08-04 07:37:12"
482,"한우리 본점","서울 강남구 도산대로 304 (논현동)","",37.52114937,127.03472831,"2024-08-04 07:44:26"
483,"마실","서울 동작구 사당로 215 서림빌딩 1층 115~118호 (사당동)","",37.48444426,126.9723214,"2024-08-04 07:44:49"
484,"도투리샤브칼국수 불광천","서울 은평구 증산로 303 태광아파트 상가 1층 105호 (증산동)","",37.58444897,126.90929035,"2024-08-04 07:45:48"
485,"솔올미술관","강원특별자치도 강릉시 원대로 45 (교동)","",37.75866084,128.87986146,"2024-08-04 17:23:29"
486,"아모레퍼시픽미술관","서울 용산구 한강대로 100 (한강로2가)","",37.52912593,126.96845836,"2024-08-05 06:33:04"
487,"인생크레페","서울 마포구 와우산로29길 59 1층 (서교동)","",37.55596087,126.92683972,"2024-08-05 09:07:56"
488,"초원가든","강원특별자치도 영월군 주천면 서강로 145-3 (주천면 주천리)","",37.26570333,128.2850209,"2024-08-05 12:53:28"
489,"주천묵집","강원특별자치도 영월군 주천면 송학주천로 1282-11 (주천면 신일리)","",37.26059314,128.26121259,"2024-08-05 12:55:57"
490,"술샘막국수","강원특별자치도 영월군 주천면 주천로58번길 35 (주천면 주천리)","",37.27036474,128.26884334,"2024-08-05 12:58:39"
491,"상동막국수","강원특별자치도 영월군 영월읍 은행나무길 6 1층 (영월읍 하송리)","",37.18064773,128.46559437,"2024-08-05 13:00:48"
492,"고깃바","서울 성동구 연무장길 37-17 (성수동2가)","",37.54341865,127.05363102,"2024-08-08 23:09:58"
493,"이츠모라멘","서울 마포구 와우산로23길 18-7 2층 202호 (서교동)","",37.55400251,126.924628,"2024-08-10 12:17:24"
494,"멘야시노기","서울 서초구 주흥길 3 108호 (반포동)","",37.50383894,127.02080051,"2024-08-10 14:51:52"
495,"대현산배수지공원 모노레일","서울 중구 신당동 837-14","",37.55928297,127.020748,"2024-10-28 18:07:34"
496,"금천구립가산도서관","서울 금천구 가산로5길 43 1-6층 (가산동)","",37.47350686,126.892128,"2025-01-20 15:40:29"
497,"강남쌀국수","서울 서초구 사평대로55길 10-11 1층 (반포동)","",37.50471067,127.02318483,"2025-11-27 00:01:11"
498,"후니도니","서울 종로구 종로 19 르메이에르종로타운 지하1층 B113-5호 (종로1가)","",37.5709348,126.98012264,"2025-12-24 05:43:32"
499,"까페더브레이브","서울 용산구 녹사평대로 170 1층 (이태원동)","",37.53349049,126.98908424,"2026-01-20 16:18:06"
500,"다리집 본점","부산 수영구 남천바다로10번길 70 정원센텀뷰 101호 (남천동)","",35.14650005,129.11068808,"2026-02-02 18:16:31"
