순번,이름,주소,메모,위도,경도,등록일
49,"댓짱돈까스 방배본점","서울 서초구 방배로6길 13 파크에비뉴빌딩 1층 (방배동)","",37.47923967,127.00006783,"2025-07-18 22:37:41"
50,"유성옥","서울 서초구 서초대로51길 14 JH엘로펌애비뉴빌딩 1층 104호 (서초동)","",37.49510374,127.01445643,"2025-07-19 19:16:22"
51,"다이브라이프","서울 서초구 반포대로20길 27 서궁빌딩 지하1층 (서초동)","",37.48806901,127.01130264,"2025-07-19 21:17:10"
52,"개뿔","서울 종로구 낙산성곽서1길 26 1,2층 (이화동)","",37.57819101,127.00806945,"2025-07-20 17:44:35"
53,"화정함흥냉면","경기 고양시 덕양구 화중로 54 1층 (화정동)","",37.63203937,126.83086804,"2025-07-23 22:54:47"
54,"야수각","경기 수원시 영통구 권선로803번길 6 1층 (매탄동)","",37.2557498,127.03921424,"2025-07-26 07:34:26"
55,"우성갈비","서울 중구 동호로7길 13 1층 (신당동)","",37.55319713,127.01115856,"2025-07-28 22:04:38"
56,"다로베","서울 성동구 왕십리로11길 7 1층 (성수동1가)","",37.54851891,127.04338665,"2025-07-30 16:08:37"
57,"르비노","서울 관악구 관악로12길 63 패밀리하우스 1-2층 (봉천동)","",37.47760966,126.95601222,"2025-08-01 06:28:53"
58,"아가 서초점","서울 서초구 서초중앙로 110 서초동롯데캐슬메디치 1층 103호 (서초동)","",37.49162587,127.01426579,"2025-08-01 18:26:09"
59,"명동함흥면옥 본점","서울 중구 명동10길 35-19 (명동2가)","",37.56276898,126.98568443,"2025-08-03 11:05:47"
60,"함흥곰보냉면","서울 종로구 창경궁로 109 세운스퀘어 4층 401,405호 (인의동)","",37.57158515,126.99701158,"2025-08-03 11:06:51"
61,"메덩골정원","경기 양평군 양동면 메덩골길 1 (양동면 금왕리)","",37.49384036,127.7288157,"2025-08-03 16:17:06"
62,"사담","서울 관악구 남부순환로 1852 5층 (봉천동)","",37.47988005,126.95559031,"2025-08-04 07:45:13"
63,"노량진형제상회","서울 동작구 노들로 674 북3문 활어 168-169호/170~172호 형제상회 (노량진동)","",37.51519645,126.9387045,"2025-08-04 08:02:01"
